Ticker,MarketCap,BookValue,InvestmentGrowth,OperatingProfitability(%)
JBL,28625820931.03,12.582,0.06869921042014869,11413129868.06549
JKHY,11488323311.92,30.527,0.04085818988052923,1862990139.8761754
J,16199425124.09,29.288,-0.043070821043106965,2948763998.907402
JNJ,584376392990.64,33.865,0.10608315195664728,75582459766.7208
JCI,88008999760.73999,21.575,-0.11139477690596089,13107763615.295483
JPM,837951998000.0,126.988,0.10544731781191931,44923929820.14049
KVUE,35867228698.079994,5.618,-0.08078704534846146,46902812388.75044
KDP,40132545512.5,18.64,0.02493765586034913,17752145922.74678
KEY,24473302200.0,16.22,-0.005911377143737287,-992601726.2638718
KEYS,41771435270.4,34.338,0.21922537490559932,2551109557.9241657
KMB,36186176886.42,4.525,0.033361537531729726,51955801104.972374
KIM,15618735898.990002,15.416,0.1114080961487296,
KMI,72817913373.81,14.007,0.018779671460781158,33725994145.784252
KKR,90197097575.92001,30.535,0.13490702890075573,
KLAC,196090610056.0,41.678,0.041102620094409806,12030872402.706465
KHC,28883371924.399998,35.189,-0.07363484997791295,13177413396.231777
KR,41995870257.6,12.338,0.041797841797841795,31196304101.150917
LHX,66518498304.82,105.088,-0.019190019285255114,2045904384.896468
LH,23433343000.0,104.864,0.09888730112226533,1085215135.7949343
LRCX,305848993320.0,8.109,0.1387340483148115,72770600567.27094
LW,6703732000.68,12.633,0.0034749558843491244,6056360326.129977
LVS,38977541041.229996,2.356,0.06067937675408884,131112054329.37183
LDOS,22182872342.0,38.898,0.032217408428515164,4666049668.363412
LEN,25128544153.32,88.907,-0.16659115734668165,3093577558.572441
LII,19520932010.5,33.426,0.24068184254726083,3113743792.257524
LLY,952338182638.4,29.655,0.42890173410404625,100138256617.77103
LIN,231844813234.3,82.027,-0.008216703171597926,10478257159.22806
LYV,37773478209.49,1.158,0.03200959135327836,70250000000.0
LMT,151452618782.4,29.349,0.07593002139633566,26341613002.14658
L,22618423978.98,90.707,0.053756879782287686,2998666034.5949044
LOW,157268350484.52002,-18.506,0.03127168321569566,-56554630930.50902
LULU,21013194679.300003,38.183,0.07210310971284166,6562336641.961082
LYB,18240540869.88,31.302,-0.033891891891891894,8836496070.538624
MTB,35736180398.12,173.501,-0.0007634540775169977,
MPC,58044200000.0,56.801,-0.08290788142393618,
MAR,92196075873.22,-14.184,0.05186769536322664,-29180767061.477722
MRSH,86813161047.95999,31.143,0.03946459871461199,19982018431.108112
MLM,41367081669.420006,166.401,0.20132231404958678,1656841004.5612705
MAS,15301072437.750002,-0.906,0.036881977671451356,-138300220750.55188
MA,465986757754.25995,8.654,0.12637008381689233,225491102380.40213
MTCH,7514114115.87,-1.09,-0.00934251664749286,-82338256880.73395
MKC,17370675935.0,21.373,0.009953864869207288,5108782108.26744
MCD,234462576650.5,-2.508,-0.017187026911500168,
MCK,116054414810.88,-10.553,0.11412600269857509,-45636311949.208755
MDT,124175896186.88,37.951,0.018881763927940342,17232747490.18471
MRK,303452075251.36,20.845,0.09778298570424186,
META,1434044962253.68,85.867,0.3259036275511313,96982542769.6321
MET,51834230000.0,43.334,-0.014728382277656257,15366686666.358978
MTD,27999048137.5,-1.161,0.14587874872800888,-96338501291.98965
MGM,9411931214.01,9.407,-0.0203127622812164,14221824173.487827
MCHP,42062459150.340004,12.123,-0.031411435627346725,3097418130.825703
MU,481909300282.37,52.226,0.1927797625907572,18781832803.58442
MSFT,2949682637859.48,52.615,0.20860546349502013,244280148246.69772
MAA,15602779139.4,48.451,0.013800280028502327,1278483416.2349591
MRNA,19485886427.32,21.954,-0.2324975577987626,-17969390543.864445
MOH,7776500000.0,79.784,-0.004222648752399232,978893011.1300511
TAP,9238952047.5,53.618,-0.011783841577851837,3386735797.679883
MDLZ,75372525337.2,20.161,0.04365154678307079,17955458558.60324
MPWR,58650506899.99999,76.384,0.48585558462556583,706113845.8315877
MNST,81835297052.16,7.928,-0.20311036303845695,24347805247.225025
MCO,79891088000.0,22.834,0.060388455751607166,13037575545.239555
MS,277674030000.0,64.367,0.017909127388700444,
MOS,9341313820.11,40.266,-0.004723698377965336,1543485819.301644
MSI,76660318117.12,14.544,0.32846865364850975,20345159515.951595
MSCI,39977960992.62,-36.085,0.04719913307265034,-4748696134.127754
NDAQ,46538498490.72,21.455,0.02164829741733838,11340013982.754602
NTAP,20297224463.04,4.98,0.09466976838272478,28614457831.3253
NFLX,333350227157.8,6.304,0.0366698729343189,211399159263.95938
NEM,133275947869.53,31.113,0.015187547292184628,18995275286.857586
NWSA,8737935417.199999,15.767,-0.07072644449772236,6063296759.0537195
NWS,4907059809.75,15.767,-0.07072644449772236,6063296759.0537195
NEE,192059054641.52002,26.216,0.1187363261528105,30592004882.514496
NKE,77923815510.0,9.518,-0.040173182891629494,38894725782.72746
NI,21943792369.73,19.752,0.022875291210276344,7414439044.1474285
NDSN,16163466024.12,55.789,-0.013878598878913828,1298230834.0353835
NSC,71016411465.75,69.276,0.03557529417151229,6598244702.35002
NTRS,26974288880.0,64.791,0.0313383926978554,
NOC,102688808090.76,117.425,0.040884134605644364,3644879710.453481
NCLH,11067309557.59,4.817,0.024461152445058455,30431928586.257004
NRG,38683064125.44,6.866,-0.07742530148244874,33236236527.818237
NUE,41196847206.59,91.304,-0.039615166949632144,
NVDA,4613575100000.0,4.892,0.6979217380720545,1665024529844.644
